I lose.|I lost.
I'm not as smart as people think I be.|I'm not as smart as people think I am.
I'm not feel very hungry right now.|I'm not feeling very hungry right now.
I'm not go to do anything about it.|I'm not going to do anything about it.
I'm not go to study French anymore.|I'm not going to study French anymore.
I'm only do this for your own good.|I'm only doing this for your own good.
I'm only three years older than he be.|I'm only three years older than he is.
I'm order you to leave immediately.|I'm ordering you to leave immediately.
I never want to hurt you.|I never wanted to hurt you.
I'm stay over at my friend's place.|I'm staying over at my friend's place.
I'm sure the children be getting big.|I'm sure the children are getting big.
I'm surprised Tom never mention you.|I'm surprised Tom never mentioned you.
I'm too tire to think about that now.|I'm too tired to think about that now.
I'm wait for a very important call.|I'm waiting for a very important call.
I've already take care of everything.|I've already taken care of everything.
I've be asked to become the manager.|I've been asked to become the manager.
I've be looking for my keys all day.|I've been looking for my keys all day.
I've be waiting for her for an hour.|I've been waiting for her for an hour.
I've be waiting for him for an hour.|I've been waiting for him for an hour.
I've be waiting for you for 5 hours.|I've been waiting for you for 5 hours.
I've discover the victim's identity.|I've discovered the victim's identity.
I've get everything I need right here.|I've got everything I need right here.
I've get to get back home by midnight.|I've got to get back home by midnight.
I've get to skedaddle or I'll be late.|I've got to skedaddle or I'll be late.
I've have enough of your snide remarks.|I've had enough of your snide remarks.
I've learn to expect the unexpected.|I've learned to expect the unexpected.
I've learn to think like Tom thinks.|I've learned to think like Tom thinks.
I've never have trouble falling asleep.|I've never had trouble falling asleep.
I've never steal anything in my life.|I've never stolen anything in my life.
I've reduce the amount of meat I eat.|I've reduced the amount of meat I eat.
If I have known, I would have told you.|If I had known, I would have told you.
If I have known, I would not have come.|If I had known, I would not have come.
If I be you, I'd go home right away.|If I were you, I'd go home right away.
If he come, what should I say to him?|If he comes, what should I say to him?
If only I haven't been in such a hurry!|If only I hadn't been in such a hurry!
In some places, people die of hunger.|In some places, people died of hunger.
In the polls, both parties be on par.|In the polls, both parties are on par.
In which folder do you save the file?|In which folder did you save the file?
Is anyone come besides your friends?|Is anyone coming besides your friends?
Is there any likelihood of his come?|Is there any likelihood of his coming?
Is there anyone else who want to eat?|Is there anyone else who wants to eat?
Isn’t love suppose to last forever?|Isn’t love supposed to last forever?
It don't need to be done right away.|It doesn't need to be done right away.
It don't really matter much anymore.|It doesn't really matter much anymore.
It have been many years since she died.|It has been many years since she died.
It be bold of you to say such a thing.|It is bold of you to say such a thing.
It be cold outdoors.|It is cold outdoors.
It be difficult to solve thbe problem.|It is difficult to solve this problem.
It be doubtful whether thbe will work.|It is doubtful whether this will work.
It be high time you spilled the beans.|It is high time you spilled the beans.
It be just a year since I got married.|It is just a year since I got married.
It be necessary that you see a doctor.|It is necessary that you see a doctor.
It be not clear who wrote thbe letter.|It is not clear who wrote this letter.
It be stupid of you to believe in him.|It is stupid of you to believe in him.
It be two miles from here to the park.|It is two miles from here to the park.
It be very hot in the summer in Japan.|It is very hot in the summer in Japan.
It ben't easy to understand hbe ideas.|It isn't easy to understand his ideas.
It rain continuously for three days.|It rained continuously for three days.
It really don't affect you, do it?|It really doesn't affect you, does it?
It seem like you weren't interested.|It seemed like you weren't interested.
It seem less crowded during the week.|It seems less crowded during the week.
It be a mess in the department store.|It was a mess in the department store.
It be a very good experience for him.|It was a very good experience for him.
It be my first night among strangers.|It was my first night among strangers.
It be nice and warm inside the house.|It was nice and warm inside the house.
It be sweet of you to do this for us.|It was sweet of you to do this for us.
It be the proudest moment of my life.|It was the proudest moment of my life.
It's a little late for that, ben't it?|It's a little late for that, isn't it?
It's be a while since I've seen you.|It's been a while since I've seen you.
It's be ten years since we last met.|It's been ten years since we last met.
It's get light.|It's getting light.
Morning be coming.|Morning is coming.
It's go to be difficult to do that.|It's going to be difficult to do that.
It's true that he be in love with her.|It's true that he is in love with her.
It's you who've act inappropriately.|It's you who've acted inappropriately.
Job security be a priority over wages.|Job security is a priority over wages.
Just a few days ago, we be so happy.|Just a few days ago, we were so happy.
King Solomon be known for his wisdom.|King Solomon was known for his wisdom.
Kyoto be the former capital of Japan.|Kyoto was the former capital of Japan.
Last year, I decide to come to Japan.|Last year, I decided to come to Japan.
Let's eat in the park like we use to.|Let's eat in the park like we used to.
Lincoln be elected President in 1860.|Lincoln was elected President in 1860.
Man be the only animal that can laugh.|Man is the only animal that can laugh.
Man be the only animal that can speak.|Man is the only animal that can speak.
Many Americans be interested in jazz.|Many Americans are interested in jazz.
Many Americans want a gold standard.|Many Americans wanted a gold standard.
Many goods be now transported by air.|Many goods are now transported by air.
Many leaders support the compromise.|Many leaders supported the compromise.
Many people be late for the concert.|Many people were late for the concert.
Marika translate my book into German.|Marika translated my book into German.
Marriage be the last thing on my mind.|Marriage is the last thing on my mind.
Mary ask Tom to shave off his beard.|Mary asked Tom to shave off his beard.
Mary take the cookies out of the oven.|Mary took the cookies out of the oven.
Mary want both a career and a family.|Mary wants both a career and a family.
Mary be looking for you at that time.|Mary was looking for you at that time.
Mathematics be an interesting subject.|Mathematics is an interesting subject.
May I ask what you be working on now?|May I ask what you are working on now?
Maybe Tom ben't as stupid as he looks.|Maybe Tom isn't as stupid as he looks.
Maybe your earring be under the table.|Maybe your earring is under the table.
Money do not always bring happiness.|Money does not always bring happiness.
Money don't grow on trees, you know.|Money doesn't grow on trees, you know.
Most girls think that they be pretty.|Most girls think that they are pretty.
Most of the policemen lose their jobs.|Most of the policemen lost their jobs.
Most, if not all, people enjoy eat.|Most, if not all, people enjoy eating.
Mother be very busy most of the time.|Mother was very busy most of the time.
My baby begin crying, asking for milk.|My baby began crying, asking for milk.
My cousin be a little older than I am.|My cousin is a little older than I am.
My daughter be to get married in June.|My daughter is to get married in June.
My father don't drink too much sake.|My father doesn't drink too much sake.
My father don't eat fruit that much.|My father doesn't eat fruit that much.
My father have been dead for ten years.|My father has been dead for ten years.
My father be always forgetting things.|My father is always forgetting things.
My father be suffering from influenza.|My father is suffering from influenza.
My friend say she bought a new watch.|My friend said she bought a new watch.
My glasses keep slip down my nose.|My glasses keep slipping down my nose.
My grades have improve significantly.|My grades have improved significantly.
My grandfather be very hard to please.|My grandfather is very hard to please.
My grandfather be wounded in the war.|My grandfather was wounded in the war.
My grandparents have a house in Boston.|My grandparents had a house in Boston.
My idea be quite different from yours.|My idea is quite different from yours.
My legs be getting better day by day.|My legs are getting better day by day.
My mother get up early every morning.|My mother gets up early every morning.
My mother have gone to the beauty shop.|My mother has gone to the beauty shop.
My mother have made me what I am today.|My mother has made me what I am today.
My mother say that she was all right.|My mother said that she was all right.
My parents die when I was very young.|My parents died when I was very young.
My premonition turn out to be right.|My premonition turned out to be right.
My schedule be really tight right now.|My schedule is really tight right now.
My sister have her hair done each week.|My sister has her hair done each week.
My uncle die of cancer two years ago.|My uncle died of cancer two years ago.
My uncle be an amateur cricket player.|My uncle is an amateur cricket player.
My uncle be staying with us thbe week.|My uncle is staying with us this week.
My vbeion be getting worse these days.|My vision is getting worse these days.
Napoleon be banished to Elba in 1814.|Napoleon was banished to Elba in 1814.
Neither of those books be interesting.|Neither of those books is interesting.
Next, I'd like to sing a song I write.|Next, I'd like to sing a song I wrote.
Nickel be a hard, bright silver metal.|Nickel is a hard, bright silver metal.
Nobody be able to suggest a solution.|Nobody was able to suggest a solution.
None of their promises have be kept.|None of their promises have been kept.
Not everybody be as lucky as we were.|Not everybody was as lucky as we were.
Not know what to do, I did nothing.|Not knowing what to do, I did nothing.
Nothing be more important than health.|Nothing is more important than health.
Only four horses compete in the race.|Only four horses competed in the race.
Only one person survive the accident.|Only one person survived the accident.
Opposition to the embargo be growing.|Opposition to the embargo was growing.
Our city be getting bigger and bigger.|Our city is getting bigger and bigger.
Parents be hopeful about the future.|Parents were hopeful about the future.
People have start arming themselves.|People have started arming themselves.
People who break the law be punished.|People who break the law are punished.
Ping pong be also called table tennbe.|Ping pong is also called table tennis.
Politicians be good at raising money.|Politicians are good at raising money.
Recently I move to another apartment.|Recently I moved to another apartment.
Sea turtles be magnificent creatures.|Sea turtles are magnificent creatures.
She accuse him of having lied to her.|She accused him of having lied to her.
She accuse him of stealing her money.|She accused him of stealing her money.
She advise him not to buy a used car.|She advised him not to buy a used car.
She advise him not to drink too much.|She advised him not to drink too much.
She advise him not to drive too fast.|She advised him not to drive too fast.
She advise him on what books to read.|She advised him on what books to read.
She advise him to go to the hospital.|She advised him to go to the hospital.
She always say nice things about him.|She always says nice things about him.
She always take care of her children.|She always takes care of her children.
She bake bread and cakes in the oven.|She baked bread and cakes in the oven.
She call up her mother on the phone.|She called up her mother on the phone.
She come back soon after five o'clock.|She came back soon after five o'clock.
She come here as soon as she heard it.|She came here as soon as she heard it.
She change her schedule to match his.|She changed her schedule to match his.
She come to see me from time to time.|She comes to see me from time to time.
She complain to him about the noise.|She complained to him about the noise.
She couldn't come because he be sick.|She couldn't come because he was sick.
She decide not to attend the meeting.|She decided not to attend the meeting.
She do nothing but cry all the while.|She did nothing but cry all the while.
She don't intend to let him kiss her.|She didn't intend to let him kiss her.
She don't say a word to me all night.|She didn't say a word to me all night.
She don't want him to leave the room.|She didn't want him to leave the room.
She divide the cake into five pieces.|She divided the cake into five pieces.
She expect him to solve the problem.|She expected him to solve the problem.
She explain to him why she was late.|She explained to him why she was late.
She get up the earliest in my family.|She gets up the earliest in my family.
She go to the bookstore once a week.|She goes to the bookstore once a week.
She have a headache from lack of sleep.|She had a headache from lack of sleep.
She have her hat blown off by the wind.|She had her hat blown off by the wind.
She have to choose her words carefully.|She had to choose her words carefully.
She have a special way of making bread.|She has a special way of making bread.
She have always been a popular actress.|She has always been a popular actress.
She have never gone on a date with him.|She has never gone on a date with him.
She have not finished her homework yet.|She has not finished her homework yet.
She have totally changed her character.|She has totally changed her character.
She help the old man cross the road.|She helped the old man cross the road.
She herself give him something to eat.|She herself gave him something to eat.
She introduce me to him at the party.|She introduced me to him at the party.
She be always fbehing for compliments.|She is always fishing for compliments.
She be collecting material for a book.|She is collecting material for a book.
She be familiar with Japanese hbetory.|She is familiar with Japanese history.
She be not rich enough to waste money.|She is not rich enough to waste money.
She left here long before you arrive.|She left here long before you arrived.
She look as if she had seen a ghost.|She looked as if she had seen a ghost.
She lose her temper and shouted at me.|She lost her temper and shouted at me.
She make up her mind to go to college.|She made up her mind to go to college.
She nod in response to my question.|She nodded in response to my question.
She often go to the movies with him.|She often goes to the movies with him.
She pass away peacefully last night.|She passed away peacefully last night.
She really hates this way of think.|She really hates this way of thinking.
She remove the dishes from the table.|She removed the dishes from the table.
She sat next him with her eyes close.|She sat next him with her eyes closed.
She seem disappointed at the result.|She seemed disappointed at the result.
She smile at the sight of her mother.|She smiled at the sight of her mother.
She spends her free time make dolls.|She spends her free time making dolls.
She stack the trays in the cupboard.|She stacked the trays in the cupboard.
She stood up and walk to the window.|She stood up and walked to the window.
She take care of many elderly people.|She takes care of many elderly people.
She told him that her father have died.|She told him that her father had died.
She told him that she don't love him.|She told him that she didn't love him.
She told me that she want a pet dog.|She told me that she wanted a pet dog.
She take the book back to the library.|She took the book back to the library.
She turn her old dress into a skirt.|She turned her old dress into a skirt.
She urge him to consider the request.|She urged him to consider the request.
She walk arm in arm with her father.|She walked arm in arm with her father.
She want to get married immediately.|She wanted to get married immediately.
She want to spare him embarrassment.|She wanted to spare him embarrassment.
She be a Wakahata before she married.|She was a Wakahata before she married.
She be a bundle of nerves last night.|She was a bundle of nerves last night.
She be advised by him on that matter.|She was advised by him on that matter.
She be advised by him to be punctual.|She was advised by him to be punctual.
She be advised by him to lose weight.|She was advised by him to lose weight.
She be advised by him to work harder.|She was advised by him to work harder.
She be brought up by her grandmother.|She was brought up by her grandmother.
She be fond of talking about herself.|She was fond of talking about herself.
She be hungry enough to eat anything.|She was hungry enough to eat anything.
She be impatient to know his address.|She was impatient to know his address.
She be not interested in boys at all.|She was not interested in boys at all.
She be too proud to ask him for help.|She was too proud to ask him for help.
She be watching the dead leaves fall.|She was watching the dead leaves fall.
She go to Germany to study medicine.|She went to Germany to study medicine.
She go to Italy to study literature.|She went to Italy to study literature.
She go to the mall with her friends.|She went to the mall with her friends.
Since he have ambitions, he works hard.|Since he has ambitions, he works hard.
Since it be so hot, we went swimming.|Since it was so hot, we went swimming.
Since the bus be late, I took a taxi.|Since the bus was late, I took a taxi.
Smoking be not permitted on the train.|Smoking is not permitted on the train.
Smoking be really bad for your health.|Smoking is really bad for your health.
Some children be swimming in the sea.|Some children are swimming in the sea.
Some parts of this city be very ugly.|Some parts of this city are very ugly.
Some people be working in the fields.|Some people are working in the fields.
Someone have taken my shoes by mistake.|Someone has taken my shoes by mistake.
Someone have walked off with my pencil.|Someone has walked off with my pencil.
Something be slowing down my computer.|Something is slowing down my computer.
Something be wrong with my typewriter.|Something is wrong with my typewriter.
Sorry, I couldn't catch what you say.|Sorry, I couldn't catch what you said.
Spain have been a democracy since 1975.|Spain has been a democracy since 1975.
Spanbeh be spoken in twenty countries.|Spanish is spoken in twenty countries.
Strange things happen in that house.|Strange things happened in that house.
Talking in the library be not allowed.|Talking in the library is not allowed.
Teenage boys love play video games.|Teenage boys love playing video games.
Tell her that I be treating a patient.|Tell her that I am treating a patient.
Tell me what I should be watch for.|Tell me what I should be watching for.
Tell me what you do on your holidays.|Tell me what you did on your holidays.
That accident happen near his house.|That accident happened near his house.
That actually seem to be the problem.|That actually seems to be the problem.
That child want someone to play with.|That child wants someone to play with.
That dress seem to be very expensive.|That dress seems to be very expensive.
That girl be more cute than beautiful.|That girl is more cute than beautiful.
That be, as it were, part of the job.|That was, as it were, part of the job.
That's happen to me plenty of times.|That's happened to me plenty of times.
I've do everything I can.|I've done everything I can.
That's not exactly what I have in mind.|That's not exactly what I had in mind.
That's not the way it happen at all.|That's not the way it happened at all.
That's what you get for not listen.|That's what you get for not listening.
That's when I decide to quit talking.|That's when I decided to quit talking.
That's why I don't want to come here.|That's why I didn't want to come here.
The Chinese be a hard-working people.|The Chinese are a hard-working people.
The Germans be in favor of austerity.|The Germans are in favor of austerity.
The Japanese economy be in depression.|The Japanese economy is in depression.
The airplane take off ten minutes ago.|The airplane took off ten minutes ago.
The answer be staring me in the face.|The answer was staring me in the face.
The apricot trees be in full blossom.|The apricot trees are in full blossom.
The architect achieve worldwide fame.|The architect achieved worldwide fame.
The baby in the cradle be very pretty.|The baby in the cradle is very pretty.
The bloody European conflict be over.|The bloody European conflict was over.
The book be now ready for publication.|The book is now ready for publication.
The boy carve his name into the tree.|The boy carved his name into the tree.
The boy stand over there is my son.|The boy standing over there is my son.
The boys in the village laugh at me.|The boys in the village laughed at me.
The boys be as nervous as the girls.|The boys were as nervous as the girls.
The bus stop to pick up passengers.|The bus stopped to pick up passengers.
The button on your coat be coming off.|The button on your coat is coming off.
The cherry blossoms be at their best.|The cherry blossoms are at their best.
The cherry blossoms be in full bloom.|The cherry blossoms are in full bloom.
The coffin be loaded into the hearse.|The coffin was loaded into the hearse.
The committee members be all present.|The committee members are all present.
The company want to employ 20 people.|The company wants to employ 20 people.
The conference go according to plan.|The conference went according to plan.
The couple decide to adopt an orphan.|The couple decided to adopt an orphan.
The death penalty should be abolish.|The death penalty should be abolished.
The door be open.|The door is open.
The earth be far bigger than the moon.|The earth is far bigger than the moon.
The elevator seem to be out of order.|The elevator seems to be out of order.
The family seem to be under a curse.|The family seemed to be under a curse.
The farmer sow his field with wheat.|The farmer sowed his field with wheat.
The firm have its head office in Osaka.|The firm has its head office in Osaka.
The flowers in the vase be beautiful.|The flowers in the vase are beautiful.
The food be not fit for man or beast.|The food was not fit for man or beast.
The garden be full of yellow flowers.|The garden was full of yellow flowers.
The girl be skillful with her fingers.|The girl is skillful with her fingers.
The girl be afraid of her own shadow.|The girl was afraid of her own shadow.
The governor order an investigation.|The governor ordered an investigation.
The horse stop and refused to move.|The horse stopped and refused to move.
The house with the green roof be mine.|The house with the green roof is mine.
The ice melt into a puddle of water.|The ice melted into a puddle of water.
The beland be a paradbee for children.|The island is a paradise for children.
The laborers form a human barricade.|The laborers formed a human barricade.
The lawyers argue the case for hours.|The lawyers argued the case for hours.
The life span of a butterfly be short.|The life span of a butterfly is short.
The lovers exchange numerous letters.|The lovers exchanged numerous letters.
The main idea in his speech be unity.|The main idea in his speech was unity.
The mayor deny having taken a bribe.|The mayor denied having taken a bribe.
The meaning of thbe letter be unclear.|The meaning of this letter is unclear.
The men's room be on the second floor.|The men's room is on the second floor.
The next station be where you get off.|The next station is where you get off.
The pain be more than he could stand.|The pain was more than he could stand.
The park be in the center of the city.|The park is in the center of the city.
The path zigzag up the steep slope.|The path zigzagged up the steep slope.
The plane be late due to bad weather.|The plane was late due to bad weather.
The police be looking for the robber.|The police are looking for the robber.
The police don't book Tom for murder.|The police didn't book Tom for murder.
The police recover the stolen money.|The police recovered the stolen money.
The poor child be born deaf and dumb.|The poor child was born deaf and dumb.
The post office be the brown building.|The post office is the brown building.
The president want immediate action.|The president wanted immediate action.
The price of thbe camera be very high.|The price of this camera is very high.
The princess lay with her eyes close.|The princess lay with her eyes closed.
The problem be how to rabee the funds.|The problem is how to raise the funds.
The restaurant be on the ground floor.|The restaurant is on the ground floor.
The ring be not to be found anywhere.|The ring was not to be found anywhere.
The robber aim his gun at the clerk.|The robber aimed his gun at the clerk.
The ship be flying the American flag.|The ship was flying the American flag.
The shop be closed when I went there.|The shop was closed when I went there.
The sidewalks be wet after the rain.|The sidewalks were wet after the rain.
The snow melt away when spring came.|The snow melted away when spring came.
The soldiers be guarding the bridge.|The soldiers were guarding the bridge.
The spectators cheer the players on.|The spectators cheered the players on.
The storm prevent us from going out.|The storm prevented us from going out.
The street be bustling with shoppers.|The street was bustling with shoppers.
The streets of New York be very wide.|The streets of New York are very wide.
The student make an irrelevant remark.|The student made an irrelevant remark.
The suspect be innocent of the crime.|The suspect was innocent of the crime.
The tall man look at Tom and smiled.|The tall man looked at Tom and smiled.
The tea be too strong.|The tea is too strong.
The teacher welcome the new students.|The teacher welcomed the new students.
The tower lean slightly to the left.|The tower leaned slightly to the left.
The town have changed a lot since then.|The town has changed a lot since then.
The town be defended by a large army.|The town was defended by a large army.
The train be ten minutes behind time.|The train was ten minutes behind time.
The trouble be that it costs too much.|The trouble is that it costs too much.
The two poems express human suffer.|The two poems express human suffering.
The two sisters live very peacefully.|The two sisters lived very peacefully.
The value of the dollar begin to drop.|The value of the dollar began to drop.
The water in thbe river be very clean.|The water in this river is very clean.
The weather couldn't have be better.|The weather couldn't have been better.
The weather have been good until today.|The weather has been good until today.
The work must be finish before noon.|The work must be finished before noon.
The world economy be in recession now.|The world economy is in recession now.
Their equipment be extremely advanced.|Their equipment is extremely advanced.
Their names be crossed off the list.|Their names were crossed off the list.
There be few books without misprints.|There are few books without misprints.
There be few men who don't know that.|There are few men who don't know that.
There be few mistakes in your report.|There are few mistakes in your report.
There be lots of animals in the park.|There are lots of animals in the park.
There be no new messages in my inbox.|There are no new messages in my inbox.
There be several forms of government.|There are several forms of government.
There be some things money can't buy.|There are some things money can't buy.
There be still a lot of things to do.|There are still a lot of things to do.
There be too many people in the park.|There are too many people in the park.
There be a lot of crime in big cities.|There is a lot of crime in big cities.
There be a traffic jam on the highway.|There is a traffic jam on the highway.
There be an urgent need for new ideas.|There is an urgent need for new ideas.
There be no advantage in staying here.|There is no advantage in staying here.
There be no need for you to stay here.|There is no need for you to stay here.
There ben't much furniture in my room.|There isn't much furniture in my room.
There be a big gold star on the door.|There was a big gold star on the door.
There be almost no color in his face.|There was almost no color in his face.
There be nothing I could do about it.|There was nothing I could do about it.
There be nothing you could have done.|There was nothing you could have done.
There be steady economic improvement.|There was steady economic improvement.
There be a few children in the room.|There were a few children in the room.
There be a lot of murders last year.|There were a lot of murders last year.
There be fifty entries for the race.|There were fifty entries for the race.
There be no computers in the office.|There were no computers in the office.
There ben't any roses in the garden.|There weren't any roses in the garden.
There's no membership fee for join.|There's no membership fee for joining.
There's no tell what he'll do next.|There's no telling what he'll do next.
There's no use cry over spilt milk.|There's no use crying over spilt milk.
There's somebody come up the stairs.|There's somebody coming up the stairs.
There's something funny go on here.|There's something funny going on here.
These books and clothes be all yours.|These books and clothes are all yours.
These walls ben't exactly soundproof.|These walls aren't exactly soundproof.
They agree to elect him as president.|They agreed to elect him as president.
They apologize for the inconvenience.|They apologized for the inconvenience.
They be satisfied with the new house.|They are satisfied with the new house.
They be very interested in astronomy.|They are very interested in astronomy.
They cheat the workers out of money.|They cheated the workers out of money.
They conclude that he had told a lie.|They concluded that he had told a lie.
They don't make 'em like they use to.|They don't make 'em like they used to.
They enter into a heated discussion.|They entered into a heated discussion.
They have their arms around each other.|They had their arms around each other.
They have be married for four years.|They have been married for four years.
They live on farms or in small towns.|They lived on farms or in small towns.
They look up to him as their leader.|They looked up to him as their leader.
They make their way through the crowd.|They made their way through the crowd.
They paint the window frames yellow.|They painted the window frames yellow.
They talk about it on the telephone.|They talked about it on the telephone.
They go into the woods for a picnic.|They went into the woods for a picnic.
They go to the public swimming pool.|They went to the public swimming pool.
They go to the zoo by bus yesterday.|They went to the zoo by bus yesterday.
They be left to fend for themselves.|They were left to fend for themselves.
They be members of the middle class.|They were members of the middle class.
They be scattered in all directions.|They were scattered in all directions.
They're really good at make clothes.|They're really good at making clothes.
They've defuse the bomb successfully.|They've defused the bomb successfully.
Things be never the same after that.|Things were never the same after that.
Thirteen passengers be hospitalized.|Thirteen passengers were hospitalized.
Thbe bag be both good and inexpensive.|This bag is both good and inexpensive.
Thbe book be geared towards beginners.|This book is geared towards beginners.
Thbe book be only publbehed in French.|This book is only published in French.
Thbe book be very popular among women.|This book is very popular among women.
Thbe book ben't as heavy as that book.|This book isn't as heavy as that book.
This box contains assort chocolates.|This box contains assorted chocolates.
Thbe box be too heavy for me to carry.|This box is too heavy for me to carry.
Thbe cloth be really smooth and silky.|This cloth is really smooth and silky.
Thbe dictionary be as useful as yours.|This dictionary is as useful as yours.
This don't make much sense, do it?|This doesn't make much sense, does it?
Thbe hat be a little too small for me.|This hat is a little too small for me.
Thbe hut be in danger of falling down.|This hut is in danger of falling down.
Thbe be Tom's third trip to Australia.|This is Tom's third trip to Australia.
Thbe be a doghouse that I made myself.|This is a doghouse that I made myself.
Thbe be an effective remedy for crime.|This is an effective remedy for crime.
Thbe be different from what I thought.|This is different from what I thought.
Thbe be the best restaurant I know of.|This is the best restaurant I know of.
Thbe be the key that opened that door.|This is the key that opened that door.
Thbe be the lady I spoke of yesterday.|This is the lady I spoke of yesterday.
Thbe be the lady who wants to see you.|This is the lady who wants to see you.
Thbe be the man I've been waiting for.|This is the man I've been waiting for.
Thbe be the perfect Father's Day gift.|This is the perfect Father's Day gift.
Thbe be the perfect Mother's Day gift.|This is the perfect Mother's Day gift.
Thbe be the picture that Mary painted.|This is the picture that Mary painted.
Thbe be the village where he was born.|This is the village where he was born.
Thbe be the worst book I've ever read.|This is the worst book I've ever read.
Thbe be what I've always wanted to do.|This is what I've always wanted to do.
This may be research my secretary do.|This may be research my secretary did.
Thbe novel be difficult to understand.|This novel is difficult to understand.
Thbe offer be available for five days.|This offer is available for five days.
Thbe passport be valid for five years.|This passport is valid for five years.
This place give me a really bad vibe.|This place gives me a really bad vibe.
Thbe question be too difficult for me.|This question is too difficult for me.
Thbe sentence be in the present tense.|This sentence is in the present tense.
Thbe ticket be valid for three months.|This ticket is valid for three months.
Thbe town be increasing in population.|This town is increasing in population.
To my astonishment, my money be gone.|To my astonishment, my money was gone.
To tell the truth, I don't notice it.|To tell the truth, I didn't notice it.
Tom acknowledges that he be defeated.|Tom acknowledges that he was defeated.
Tom and I go there on our honeymoon.|Tom and I went there on our honeymoon.
Tom and Mary be playing a video game.|Tom and Mary are playing a video game.
Tom and Mary be unbeatable at tennis.|Tom and Mary are unbeatable at tennis.
Tom and Mary come to an understanding.|Tom and Mary came to an understanding.
Tom and Mary go on a shopping spree.|Tom and Mary went on a shopping spree.
Tom and his wife have just have a baby.|Tom and his wife have just had a baby.
Tom ask Mary to lend him some money.|Tom asked Mary to lend him some money.
Tom couldn't tell Mary what he'd see.|Tom couldn't tell Mary what he'd seen.
Tom don't calm down until much later.|Tom didn't calm down until much later.
Tom don't go to the lake last summer.|Tom didn't go to the lake last summer.
Tom don't know where to park his car.|Tom didn't know where to park his car.
Tom don't like the concert very much.|Tom didn't like the concert very much.
Tom don't offer me anything to drink.|Tom didn't offer me anything to drink.
Tom don't show up for work yesterday.|Tom didn't show up for work yesterday.
Tom don't dress like everybody else.|Tom doesn't dress like everybody else.
Tom don't know how much Mary weighs.|Tom doesn't know how much Mary weighs.
Tom don't know how to tie his shoes.|Tom doesn't know how to tie his shoes.
Tom don't know much about Indonesia.|Tom doesn't know much about Indonesia.
Tom don't know what this is.|Tom doesn't know what this is.
Tom don't know who the president is.|Tom doesn't know who the president is.
Tom don't look particularly pleased.|Tom doesn't look particularly pleased.
Tom don't remember having said that.|Tom doesn't remember having said that.
Tom don't think it'll rain tomorrow.|Tom doesn't think it'll rain tomorrow.
Tom don't think it'll snow tomorrow.|Tom doesn't think it'll snow tomorrow.
Tom don't think that is a good idea.|Tom doesn't think that is a good idea.
Tom don't usually show his feelings.|Tom doesn't usually show his feelings.
Tom don't want Mary to get involved.|Tom doesn't want Mary to get involved.
Tom don't want to see anybody today.|Tom doesn't want to see anybody today.
Tom fill out the application for me.|Tom filled out the application for me.
Tom give Mary the first piece of cake.|Tom gave Mary the first piece of cake.
Tom grow up in a working-class family.|Tom grew up in a working-class family.
Tom have no choice but to quit his job.|Tom had no choice but to quit his job.
Tom have some very unusual experiences.|Tom had some very unusual experiences.
Tom have a large closet in his bedroom.|Tom has a large closet in his bedroom.
Tom have actually never been to Boston.|Tom has actually never been to Boston.
Tom have already spoken to me about it.|Tom has already spoken to me about it.
Tom have been absent since last Monday.|Tom has been absent since last Monday.
Tom have been retired for twenty years.|Tom has been retired for twenty years.
Tom have confidence in his own ability.|Tom has confidence in his own ability.
Tom have far more experience than Mary.|Tom has far more experience than Mary.
Tom have lost a lot of weight recently.|Tom has lost a lot of weight recently.
Tom have never been absent from school.|Tom has never been absent from school.
Tom have never kissed anyone in public.|Tom has never kissed anyone in public.
Tom have shoulder-length hair dyed red.|Tom has shoulder-length hair dyed red.
Tom haven't read the morning paper yet.|Tom hasn't read the morning paper yet.
Tom be a professional baseball player.|Tom is a professional baseball player.
Tom be at the door.|Tom is at the door.
Tom be going to do something about it.|Tom is going to do something about it.
Tom be good at making paper airplanes.|Tom is good at making paper airplanes.
Tom be just trying to make ends meets.|Tom is just trying to make ends meets.
Tom be now the star of a reality show.|Tom is now the star of a reality show.
Tom be sitting in the conference room.|Tom is sitting in the conference room.
Tom be the captain of the soccer team.|Tom is the captain of the soccer team.
Tom be the fastest runner on our team.|Tom is the fastest runner on our team.
Tom be the one who doesn't understand.|Tom is the one who doesn't understand.
Tom be thinking about getting married.|Tom is thinking about getting married.
Tom ben't good at hiding hbe emotions.|Tom isn't good at hiding his emotions.
Tom ben't much of a basketball player.|Tom isn't much of a basketball player.
Tom kept Mary wait for a long time.|Tom kept Mary waiting for a long time.
Tom kept Mary wait for three hours.|Tom kept Mary waiting for three hours.
Tom kiss Mary and then went to work.|Tom kissed Mary and then went to work.
Tom knew what Mary be supposed to do.|Tom knew what Mary was supposed to do.
Tom knows he have no chance of winning.|Tom knows he has no chance of winning.
Tom knows he shouldn't have say that.|Tom knows he shouldn't have said that.
Tom offer Mary a glass of champagne.|Tom offered Mary a glass of champagne.
Tom often come to see me on weekends.|Tom often comes to see me on weekends.
Tom probably should've study harder.|Tom probably should've studied harder.
Tom probably thought I ben't at home.|Tom probably thought I wasn't at home.
Tom promise to clean the living room.|Tom promised to clean the living room.
Tom realize he had been unreasonable.|Tom realized he had been unreasonable.
Tom really be a nice person, ben't he?|Tom really is a nice person, isn't he?
